absolute_path,relative_path,short_description,primary_purpose,benefits_notes,detected_dependencies,inclusion_reason
d:\CamboAI\camboai\backend\app\api\websocket.py,camboai\backend\app\api\websocket.py,No module docstring or top comment,,Exposes HTTP endpoints,"asyncio,datetime,fastapi,json,logging,typing,yfinance",canonical-picked
d:\CamboAI\camboai\backend\app\core\logging.py,camboai\backend\app\core\logging.py,No module docstring or top comment,,Implementation detail / helper module,"json,loguru,sys,typing",canonical-picked
d:\CamboAI\camboai\backend\app\core\metrics.py,camboai\backend\app\core\metrics.py,No module docstring or top comment,,Implementation detail / helper module,"prometheus_client,typing",canonical-picked
d:\CamboAI\camboai\backend\app\database.py,camboai\backend\app\database.py,No module docstring or top comment,,Defines DB models and session helpers,"datetime,os,sqlalchemy,uuid",canonical-picked
d:\CamboAI\camboai\backend\app\database_simple.py,camboai\backend\app\database_simple.py,No module docstring or top comment,,Defines DB models and session helpers,"datetime,os,sqlalchemy,uuid",canonical-picked
d:\CamboAI\camboai\backend\app\main.py,camboai\backend\app\main.py,No module docstring or top comment,,Application entrypoint / app wiring,"app,asyncio,datetime,fastapi,os,prometheus_fastapi_instrumentator,time",canonical-picked
d:\CamboAI\camboai\backend\app\main_simple.py,camboai\backend\app\main_simple.py,No module docstring or top comment,,Application entrypoint / app wiring,"datetime,fastapi",canonical-picked
d:\CamboAI\camboai\backend\app\models\learning.py,camboai\backend\app\models\learning.py,No module docstring or top comment,,Implementation detail / helper module,"__future__,app,datetime,sqlalchemy,uuid",canonical-picked
d:\CamboAI\camboai\backend\app\models\memory.py,camboai\backend\app\models\memory.py,No module docstring or top comment,,Implementation detail / helper module,"__future__,app,datetime,sqlalchemy,uuid",canonical-picked
d:\CamboAI\camboai\backend\app\models\social.py,camboai\backend\app\models\social.py,No module docstring or top comment,,Implementation detail / helper module,"__future__,app,datetime,sqlalchemy,uuid",canonical-picked
d:\CamboAI\camboai\backend\app\security\middleware.py,camboai\backend\app\security\middleware.py,No module docstring or top comment,,Implementation detail / helper module,"fastapi,logging,security_service,time,typing",canonical-picked
d:\CamboAI\camboai\backend\app\security\security_service.py,camboai\backend\app\security\security_service.py,No module docstring or top comment,,Contains business logic or background tasks,"asyncio,datetime,fastapi,hashlib,logging,pydantic,re,secrets,string,time,typing",canonical-picked
d:\CamboAI\camboai\backend\app\services\broker_service.py,camboai\backend\app\services\broker_service.py,No module docstring or top comment,,Contains business logic or background tasks,"alpaca_trade_api,datetime,logging,pydantic,typing,yfinance",canonical-picked
d:\CamboAI\camboai\backend\app\services\cache_service.py,camboai\backend\app\services\cache_service.py,No module docstring or top comment,,Contains business logic or background tasks,"asyncio,datetime,functools,hashlib,json,logging,pickle,redis,typing",canonical-picked
d:\CamboAI\camboai\backend\app\services\chart_patterns.py,camboai\backend\app\services\chart_patterns.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,dataclasses,numpy,pandas,typing",canonical-picked
d:\CamboAI\camboai\backend\app\services\database_service.py,camboai\backend\app\services\database_service.py,No module docstring or top comment,,Defines DB models and session helpers | Contains business logic or background tasks,"app,datetime,hashlib,sqlalchemy,typing,uuid",canonical-picked
d:\CamboAI\camboai\backend\app\services\feeds.py,camboai\backend\app\services\feeds.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,datetime,html,requests,typing,xml",canonical-picked
d:\CamboAI\camboai\backend\app\services\keys.py,camboai\backend\app\services\keys.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,json,os,pathlib,typing",canonical-picked
